CHV_FTPROD_MATRICULA;FLG_EMPREGADO;FLG_EVADIU;FLG_BOLSA_ESTUDO_NAO;FLG_BOLSA_ESTUDO_SIM;FLG_0_DISC;FLG_1_DISC;FLG_2_DISC;FLG_3_DISC;FLG_IDAP_ABAIXO;FLG_IDAP_ACIMA;PERC_FALTA_00;PERC_FALTA_10;PERC_FALTA_15;PERC_FALTA_20;PERC_FALTA_25;QTD_BOLETOS_0;QTD_BOLETOS_1;QTD_BOLETOS_2;QTD_BOLETOS_3
100001289331MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
100051329372MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
100091349353MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
10010612611709EVADIDO;1;1;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
10010612611709EVADIDO;1;1;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
10010612611709EVADIDO;1;1;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1001061269324MATRICULADO;1;0;1;0;1,00;0;0;0;0;1;1;0;0;0;0;0;0;0;1
10021212411828TRANCADO;1;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
100381329341MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1005066912043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1005066912043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1005066912043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
100507759321MATRICULADO;1;0;0;1;0,00;1;0;0;0;1;1;0;0;0;0;1;0;0;0
1005912611823CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1005912611823CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1005912611823CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
100591699365DESISTENTE;1;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
100652699323MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1006629212043CONCLUINTE;1;0;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
1006629212043CONCLUINTE;1;0;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
1006629212043CONCLUINTE;1;0;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
1007081069320MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
100801329372MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
10084413311865MATRICULADO;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
10104829357MATRICULADO;0;0;0;1;0,00;1;0;0;0;1;1;0;0;0;0;1;0;0;0
1010611349371MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
10110414411727EVADIDO;1;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1011301449365MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
